Beheshti Network Comms Center

Summary Data by Path
Path 9 processed 8 messages
Path 3 processed 7 messages
Path 11 processed 8 messages
Path 7 processed 9 messages
Path 4 processed 8 messages
Path 5 processed 8 messages
Path 2 processed 8 messages
Path 6 processed 9 messages
Path 10 processed 7 messages
Path 14 processed 8 messages
Path 13 processed 8 messages
Path 12 processed 9 messages
Path 1 processed 9 messages
Path 8 processed 9 messages

MESSAGE ID   PRIORITY    PATH ID     LENGTH   CREATION       WAIT      START   DURATION      TOTAL
Message 14         16          1      Small          0          1          1          1          2
Message 15         39          2      Small          0          2          2          6          8
Message 20          2          6     Medium          5          1          6          3          4
Message 10         22          8     Medium          0          8          8          1          9
Message 18          4          4      Small          3          1          4          6          7
Message 16          4          3     Medium          1          2          3          8         10
 Message 4         15          5     Medium          0          5          5          7         12
 Message 2         38          9     Medium          0          9          9          3         12
Message 25         23         11     Medium         10          1         11          1          2
Message 21          6          7     Medium          6          1          7          8          9
Message 26         32         12      Small         11          1         12          4          5
Message 28         10         14      Small         13          1         14          2          3
 Message 3         45         13     Medium          0         13         13          4         17
Message 24         38         10      Small          9          1         10         10         11
Message 31         23          6     Medium         16          1         17          3          4
Message 29          1          1      Large         14          1         15          8          9
Message 36         30          9      Small         21          1         22          1          2
Message 12          4          8      Large          0         18         18          6         24
Message 35         24          5     Medium         20          1         21          3          4
Message 17          3          2      Large          2         14         16          9         23
Message 19          4          4      Large          4         15         19          6         21
Message 37         43         11      Small         22          1         23          2          3
Message 38         15          7      Small         23          1         24          2          3
Message 34          8          3      Small         19          1         20          8          9
Message 13          8          1      Large          0         30         30          1         31
Message 39         13         12      Small         24          1         25          7          8
 Message 7          5         14      Large          0         26         26          6         32
Message 44         14          8      Large         29          3         32          1          4
Message 41         34         13      Small         26          1         27          8          9
Message 43          5          6     Medium         28          1         29          7          8
Message 30          7         10      Large         15         13         28          9         22
Message 48         11          2      Large         33          1         34          4          5
 Message 9         18         11      Large          0         36         36          2         38
Message 33         11          9      Large         18         13         31          8         21
Message 49          5          4     Medium         34          1         35          4          5
Message 53         29          1     Medium         38          1         39          2          3
Message 54          1         12      Small         39          1         40          2          3
Message 47          4          5      Large         32          1         33         10         11
Message 51          4          7      Large         36          1         37          7          8
Message 27         20         13      Large         12         31         43          1         32
 Message 1         18          3      Large          0         38         38          8         46
Message 55         41         14     Medium         40          1         41          6          7
 Message 5         22          6      Large          0         44         44          4         48
Message 45         26         11      Large         30         17         47          1         18
Message 56          8          8      Small         41          1         42         10         11
Message 50         22         10      Large         35         10         45          9         19
Message 66         24          5      Small         51          1         52          2          3
Message 67         14          7      Small         52          1         53          1          2
Message 63          2          4     Medium         48          1         49          6          7
Message 57         25          2      Large         42          4         46         10         14
Message 65          4         12     Medium         50          1         51          5          6
Message 69         20          3     Medium         54          1         55          1          2
Message 62          5          9      Small         47          1         48         10         11
Message 64         34          1     Medium         49          1         50          9         10
Message 68         44         13     Medium         53          1         54          5          6
 Message 8         27          6      Large          0         57         57          2         59
Message 73         22          8      Large         58          1         59          1          2
Message 72         37         11      Small         57          1         58          3          4
Message 59         26         14      Large         44         12         56          9         21
Message 75         24          5     Medium         60          1         61          6          7
Message 74         16         10      Large         59          1         60          8          9
Message 76         37          7     Medium         61          1         62          6          7
Message 77         31          4      Small         62          1         63          5          6
Message 11         27          9      Large          0         67         67          3         70
Message 79          4         12      Large         64          1         65          6          7
Message 83         28         13     Medium         68          1         69          2          3
Message 84         23          6      Small         69          1         70          2          3
Message 80         12          3      Large         65          1         66          7          8
Message 78          5          2     Medium         63          1         64         10         11
Message 85         25          8     Medium         70          1         71          6          7
Message 86         18         11     Medium         71          1         72          5          6
Message 82          5          1      Large         67          1         68         10         11
Message 87         38         14      Small         72          1         73          6          7
Message 91         24          4     Medium         76          1         77          2          3
Message 89         10         10     Medium         74          1         75          5          6
Message 90          7          7      Small         75          1         76          6          7
Message 88         20          5     Medium         73          1         74         10         11
Message 94         13         13      Large         79          1         80          4          5
Message 97         18          2      Large         82          1         83          1          2
Message 92         29          9      Small         77          1         78         10         11
Message 93         27         12      Small         78          1         79         10         11
Message 95          2          6      Large         80          1         81          8          9
Message 96         24          3      Large         81          1         82          8          9
Message 104         33          7     Medium         89          1         90          1          2
Message 100         16          1     Medium         85          1         86          6          7
Message 98         27          8      Large         83          1         84          9         10
Message 99         24         11      Large         84          1         85          8          9
Message 101         16         14      Small         86          1         87          9         10
Message 108         12          9      Large         93          1         94          2          3
Message 22         31         12      Large          7         88         95          1         89
Message 102         12          4     Medium         87          1         88          9         10
Message 105         22          5     Medium         90          1         91          6          7
Message 103          4         10     Medium         88          1         89          9         10
Message 106         17         13      Large         91          1         92          8          9
Message 112         15          7     Medium         97          1         98          3          4
Message 42         30          2      Large         27         66         93          9         75
Message 110         10          6      Small         95          1         96          6          7
Message 113         13          1      Large         98          1         99          6          7
Message 46         35         12      Large         31         73        104          1         74
Message 114         13          8      Large         99          1        100          6          7
Message 109         32         14      Large         94          8        102          4         12
Message 23         35          9      Large          8         95        103          3         98
Message 111         14          3      Large         96          1         97         10         11
Message 115         20         11      Large        100          1        101          9         10
Message 58         36          7      Large         43         66        109          1         67
Message 60         35          4      Large         45         60        105          6         66
Message 81         35          5      Large         66         40        106          5         45
Message 52         37          2      Large         37         73        110          3         76
Message 32         39          6      Large         17         94        111          4         98
Message 107         35         10      Large         92         15        107          9         24
Message 70         44         14      Large         55         60        115          1         61
 Message 6         36         13      Large          0        108        108          9        117
Message 71         39         12      Large         56         57        113          4         61
Message 61         39          1      Large         46         66        112          8         74
Message 40         44          8      Large         25         89        114          9         98

The average total time for 26 Small Messages is 6.38 milliseconds
The average total time for 34 Medium Messages is 7.00 milliseconds
The average total time for 55 Large Messages is 33.44 milliseconds
The average total time for 115 Total Messages is 19.50 milliseconds

I avow that I did this exam without help from any other person.
