Simulation Results
Simulation with 6 printers lasted 4482 seconds and processed 45 jobs
The average time in the wait queue for a job is 169.66666666666666 seconds

Printer Statistics
      Name       Jobs     In Use       Idle
  Printer0          8       4055        427
  Printer1          7       3806        676
  Printer2          8       4185        297
  Printer3          6       4053        429
  Printer4          8       4001        481
  Printer5          8       3839        643

Job Statistics
Job No.   Priority  Wait Time   Length Of Job
    7          1          0             617
   23          1          0              69
   21          1         39             219
   36          1        231             363
   14          1         57            1054
   13          1         13             590
   19          1        123             197
    3          2          0              42
   20          2        124             808
   44          2         15             431
   35          2         55              23
    1          3          0             376
   17          3          2             732
   41          3         70             809
   26          3         14             688
   28          3         67            1043
   34          4         62             753
   24          4         18             369
    4          4          0             383
   27          4         71             474
    9          4          0            1004
   45          5        108             745
   15          5         22             140
   39          6         83             214
   42          6         57            1063
    5          6          0            1027
   29          7        148            1095
   40          7        274            1005
    6          8          0             322
   10          8          2             256
   22          8        149             954
   32          9         37             606
   12          9         98             661
   43          9        123              27
    2          9          0             925
   33          9         65             150
   11         10        205             137
   30         10        132              65
   38         10        550             118
   18         10       1423             248
   31         11        398             852
    8         11          0             413
   25         11       1883             678
   16         11        147            1041
   37         11        770             153
